

DIM     | INSERTION     | MERGE         | QUICKSORT     | BUBBLE        | SELECTION
70      | 1.5631e-05    | 4.8286e-05    |1.1683e-05     |3.4818e-05     |5.6561e-05
71      | 1.6663e-05    | 4.6733e-05    |1.1503e-05     |3.558e-05      |4.5901e-05
72      | 1.2314e-05    | 3.3957e-05    |9.829e-06      |2.8636e-05     |4.1973e-05
73      | 1.504e-05     | 7.8986e-05    |1.3967e-05     |3.4348e-05     |4.5299e-05
74      | 1.3698e-05    | 5.1201e-05    |1.2304e-05     |3.6091e-05     |5.9779e-05
75      | 1.7074e-05    | 4.8416e-05    |1.1032e-05     |3.1473e-05     |4.8055e-05
76      | 2.026e-05     | 5.1712e-05    |1.0901e-05     |4.2514e-05     |6.8305e-05
77      | 1.4459e-05    | 3.6923e-05    |1.0711e-05     |3.3186e-05     |7.1371e-05
78      | 2.1031e-05    | 5.5529e-05    |1.1723e-05     |4.0871e-05     |5.4758e-05
79      | 1.4038e-05    | 3.7665e-05    |1.1593e-05     |3.538e-05      |5.4007e-05
80      | 1.517e-05     | 7.1832e-05    |1.527e-05      |7.4497e-05     |7.0941e-05
81      | 2.032e-05     | 5.2554e-05    |1.2365e-05     |4.2344e-05     |7.4647e-05
82      | 2.1383e-05    | 5.6331e-05    |1.4348e-05     |4.9939e-05     |6.6772e-05
83      | 2.5741e-05    | 5.4858e-05    |1.6904e-05     |4.7083e-05     |6.3215e-05
84      | 1.494e-05     | 3.9568e-05    |1.0871e-05     |4.9107e-05     |7.2393e-05
85      | 2.566e-05     | 6.2564e-05    |1.492e-05      |4.9728e-05     |6.3967e-05
86      | 1.7595e-05    | 4.2153e-05    |1.2174e-05     |4.1061e-05     |7.6712e-05
87      | 1.5742e-05    | 4.1031e-05    |1.1954e-05     |4.2093e-05     |9.0709e-05

Ho riscontrato che, stampando i risultati dalla dim 52 in poi, il quicksort è più veloce(è il punto approssimato dove abbiamo l'intersezioni delle funzioni della complessità logaritmica e quella quadratica).
del insertion. Inoltre nella tabella sottotante, ho visto come si comportano gli algoritmi a dim elevate. Ho stampato null perché ovviamente l'insertion sort per dimensioni molto grandi
ci avrebbe messo decine di minuti. Per dimensionalità non troppo "elevate" (sotto le 200mila) il quicksort( e 
quindi il quicksort modificato) si comportano meglio del sort, ma se la dimensionalità cresce troppo (a causa del pivoting alla fine del vettore)
al raddoppiare della dimensionalità il tempo quadruplica, quindi raggiunge una complessità O(n^2)



DIM     | INSERTION     | MERGE         | QUICKSORT     | SORT  | QUICKSORT MODIFICATO
4       | 4.61e-07      | 2.014e-06     |4.91e-07       |3.037e-06      |3.11e-07
8       | 7.71e-07      | 3.648e-06     |8.72e-07       |1.985e-06      |5.51e-07
16      | 1.514e-06     | 7.435e-06     |2.115e-06      |3.487e-06      |1.463e-06
32      | 3.818e-06     | 1.5071e-05    |4.53e-06       |8.237e-06      |4.259e-06 
64      | 1.1444e-05    | 3.1697e-05    |9.821e-06      |1.5122e-05     |1.0342e-05
128     | 4.5126e-05    | 6.6981e-05    |5.2811e-05     |3.1837e-05     |2.4291e-05 
256     | 0.000167654   | 0.000161602   |6.2602e-05     |8.6032e-05     |6.2502e-05
512     | 0.000884206   | 0.000442274   |0.000130375    |0.000174468    |0.000145417
